                                                                                                                                               Solvent                                        CAS_solvent                                                                                       Family_solvent                                                                                                                                              Reactant1                                                                                            Family_R1                                                                                                                                              Reactant2                                                                                            Family_R2                                                                                                                                       Transition-State                                                                                            Family_TS                           T[K]                         P[bar]         DGsolv_exp_1[kcal/mol]        DGsolv_calc_1[kcal/mol]         DGsolv_exp_2[kcal/mol]        DGsolv_calc_2[kcal/mol]        DGsolv_exp_TS[kcal/mol]       DGsolv_calc_TS[kcal/mol]          DDGsolv_exp[kcal/mol]         DDGsolv_calc[kcal/mol]
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -1.39467                       -1.87391                       -3.94100                       -3.54215                       -5.65259                       -5.52264                       -0.31692                       -0.10658
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -3.01190                       -3.57715                       -4.12016                       -4.07008                       -7.80699                       -8.02285                       -0.67493                       -0.37562
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -2.97526                       -3.30609                       -3.55017                       -3.53550                       -6.56646                       -6.54312                       -0.04103                        0.29847
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -2.92170                       -3.17576                       -2.65963                       -2.79724                       -5.91413                       -5.93240                       -0.33280                        0.04061
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -2.17277                       -2.90653                       -3.88149                       -3.81634                       -6.24627                       -6.52753                       -0.19201                        0.19534
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -2.94973                       -3.39194                       -3.80397                       -3.77999                       -6.74609                       -6.91146                        0.00761                        0.26048
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS7                                                                               ROORs-Transition-state                            298                              0                       -2.79063                       -3.19678                       -3.51097                       -3.41356                       -6.37378                       -6.67573                       -0.07218                       -0.06540
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -2.91695                       -3.31773                       -3.26924                       -3.33143                       -6.60834                       -6.64050                       -0.42215                        0.00867
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -1.75743                       -2.24547                       -3.94100                       -3.54215                       -5.90976                       -5.76057                       -0.21133                        0.02705
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -3.56336                       -4.13900                       -4.12016                       -4.07008                       -8.28248                       -8.45692                       -0.59896                       -0.24784
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -3.50785                       -3.72688                       -3.55017                       -3.53550                       -7.00893                       -6.83691                        0.04909                        0.42547
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -3.45102                       -3.58632                       -2.65963                       -2.79724                       -6.34955                       -6.23396                       -0.23890                        0.14960
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -2.61771                       -3.32752                       -3.88149                       -3.81634                       -6.60834                       -6.81484                       -0.10914                        0.32901
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -3.47596                       -3.84307                       -3.80397                       -3.77999                       -7.18377                       -7.22921                        0.09616                        0.39384
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                               (RP-1)ethylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS8                                                                               ROORs-Transition-state                            298                              0                       -3.31221                       -3.65221                       -3.51097                       -3.41356                       -6.79865                       -7.01163                        0.02453                        0.05414
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.31324                       -1.41400                       -3.63917                       -3.49477                       -5.79277                       -5.74227                       -0.84036                       -0.83350
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -0.59475                       -0.70272                       -4.02627                       -3.42240                       -5.26157                       -5.06228                       -0.64055                       -0.93717
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.70274                       -1.94715                       -4.55950                       -4.35151                       -7.19718                       -7.34202                       -0.93494                       -1.04335
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.69875                       -1.89109                       -3.97066                       -3.74530                       -5.97771                       -5.91161                       -0.30830                       -0.27522
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.62258                       -1.78373                       -3.15157                       -3.08565                       -5.30469                       -5.33259                       -0.53054                       -0.46321
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.15528                       -1.53548                       -4.12683                       -3.89198                       -5.78122                       -5.92581                       -0.49911                       -0.49835
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.69800                       -1.89631                       -4.18865                       -3.97784                       -6.17008                       -6.23790                       -0.28343                       -0.36374
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                              ROORs_TS9                                                                               ROORs-Transition-state                            298                              0                       -1.52956                       -1.72423                       -3.91640                       -3.64593                       -5.77186                       -6.03391                       -0.32590                       -0.66375
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -1.93541                       -2.12697                       -3.63917                       -3.49477                       -6.15787                       -6.37395                       -0.58329                       -0.75221
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -1.02883                       -1.24088                       -4.02627                       -3.42240                       -5.51426                       -5.51999                       -0.45916                       -0.85671
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -2.42766                       -2.74452                       -4.55950                       -4.35151                       -7.72291                       -8.07485                       -0.73575                       -0.97882
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -2.40574                       -2.63659                       -3.97066                       -3.74530                       -6.46437                       -6.57944                       -0.08797                       -0.19755
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -2.34772                       -2.55398                       -3.15157                       -3.08565                       -5.84196                       -6.01252                       -0.34267                       -0.37289
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -1.71343                       -2.22892                       -4.12683                       -3.89198                       -6.12088                       -6.54206                       -0.28062                       -0.42116
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -2.38968                       -2.67911                       -4.18865                       -3.97784                       -6.63371                       -6.94323                       -0.05538                       -0.28628
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS10                                                                               ROORs-Transition-state                            298                              0                       -2.22924                       -2.49711                       -3.91640                       -3.64593                       -6.28387                       -6.72260                       -0.13823                       -0.57956
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS11                                                                               ROORs-Transition-state                            298                              0                       -2.43923                       -2.85566                       -3.63917                       -3.49477                       -6.56235                       -6.67709                       -0.48395                       -0.32667
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                            (RP-1)2-propylhydroperoxide                                                                                       Peroxy-radical                                                                                                                                             ROORs_TS11                                                                               ROORs-Transition-state                            298                              0                       -1.39467                       -1.87391                       -4.02627                       -3.42240                       -5.68526                       -5.68072                       -0.26432                       -0.38441
